TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
BP092321_ASSUME_A01,1,"VERTEX IN GST","COUNTRY IN CGST INPUT",VTX_IN_CGST_I_STD,VTX_IN_803560000,600,9,10000,N,100,VAT|CGST|CGST,SUPSITEMH12345||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",RIUS104111|1800.0|UNDERCHARGED|PAYCHARGED|PROFILE|600.000000|-1200.000000|1800.0|600|Y
BP092321_ASSUME_A01,1,"VERTEX IN GST","STATE IN SGST INPUT",VTX_IN_S_I_STD,VTX_IN_ST_803560020,0,9,10000,N,100,VAT|SGST|SGST,SUPSITEMH12345||||,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",RIUS104111|1800.0|UNDERCHARGED|PAYCHARGED|PROFILE|600.000000|-1200.000000|1800.0|600|Y
BP092321_MATCH_A02,11,"VERTEX IN GST","COUNTRY IN CGST INPUT",VTX_IN_CGST_I_STD,VTX_IN_803560000,225,9,2500,N,100,VAT|CGST|CGST,SUPSITEMH12345||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,11,"VERTEX IN GST","STATE IN SGST INPUT",VTX_IN_S_I_STD,VTX_IN_ST_803560020,225,9,2500,N,100,VAT|SGST|SGST,SUPSITEMH12345||||,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,12,"VERTEX COMMON TAX","COUNTRY FV INPUT",STD,VTX_CNTRY_FV_INPUT_JURCD,0,0,0,N,,NONE||,,"ANDHRA PRADESH",NO_TAX|||||21|||||F,RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,12,"VERTEX COMMON TAX","COUNTRY FV INPUT",STD,VTX_CNTRY_FV_INPUT_JURCD,0,0,0,N,,NONE||,,"ANDHRA PRADESH",NO_TAX|||||21|||||F,RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,12,"VERTEX IN GST","COUNTRY IN CGST INPUT",VTX_IN_CGST_I_STD,VTX_IN_803560000,450,18,2500,N,100,VAT|IGST|IGST,SUPSITEMH12345||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,13,"VERTEX COMMON TAX","COUNTRY FV INPUT",STD,VTX_CNTRY_FV_INPUT_JURCD,0,0,0,N,,NONE||,,"ANDAMAN AND NICOBAR ISLANDS",NO_TAX|||||21|||||F,RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,13,"VERTEX COMMON TAX","COUNTRY FV INPUT",STD,VTX_CNTRY_FV_INPUT_JURCD,0,0,0,N,,NONE||,,"ANDAMAN AND NICOBAR ISLANDS",NO_TAX|||||21|||||F,RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,13,"VERTEX IN GST","COUNTRY IN CGST INPUT",VTX_IN_CGST_I_STD,VTX_IN_803560000,450,18,2500,N,100,VAT|IGST|IGST,SUPSITEMH12345||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,14,"VERTEX COMMON TAX","COUNTRY FV INPUT",STD,VTX_CNTRY_FV_INPUT_JURCD,0,0,0,N,,NONE||,,DELHI,NO_TAX|||||21|||||F,RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
BP092321_MATCH_A02,14,"VERTEX COMMON TAX","COUNTRY FV INPUT",STD,VTX_CNTRY_FV_INPUT_JURCD,0,0,0,N,,NONE||,,DELHI,NO_TAX|||||21|||||F,RIUS104111|1800.0|MATCHED|PAYCHARGED||1800.000000|0.000000|450.0|450|Y
