TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
MW100421VENLINE01,1,"VERTEX US TAX",COUNTY,STD,CO-VTL-111210000,27.5,2.75,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,FULTON,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|DPP|ACCRUEALL||613.500000|-185.750000|77.5||
MW100421VENLINE01,1,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-78130,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|DPP|ACCRUEALL||613.500000|-185.750000|77.5||
MW100421VENLINE01,1,"VERTEX US TAX",STATE,STD,ST-VTL-110000000,40,4,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,GEORGIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|DPP|ACCRUEALL||613.500000|-185.750000|77.5||
MW100421VENLINE01,10,"VERTEX US TAX",CITY,STD,CI-VTL-450190014,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,"CASTLE VALLEY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|DPP|ACCRUEALL||613.500000|-185.750000|68.5||
MW100421VENLINE01,10,"VERTEX US TAX",COUNTY,STD,CO-VTL-450190000,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|DPP|ACCRUEALL||613.500000|-185.750000|68.5||
MW100421VENLINE01,10,"VERTEX US TAX",STATE,STD,ST-VTL-450000000,48.5,4.85,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|DPP|ACCRUEALL||613.500000|-185.750000|68.5||
MW100421VENLINE06,106,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,.65,7.75,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678||||,"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|298.5|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|2.500000|-296.000000|77.5|0.65|Y
MW100421VENLINE06,106,"VERTEX US TAX",COUNTY,STD,CO-VTL-111210000,27.5,2.75,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,FULTON,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|298.5|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|2.500000|-296.000000|77.5|0.65|Y
MW100421VENLINE06,106,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-78130,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|298.5|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|2.500000|-296.000000|77.5|0.65|Y
MW100421VENLINE06,106,"VERTEX US TAX",STATE,STD,ST-VTL-110000000,39.35,4,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,GEORGIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|298.5|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|2.500000|-296.000000|77.5|0.65|Y
