TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
QL061322OVER_TAOLL_A01,,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,887.5,8.875,10000,N,,"CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",|98-765432|||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|887.5|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|112.5|887.5|1000|Y
QL061322OVER_TAOLL_A02,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,1000,0,0,N,,"CONSUMERS_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|1000.0|0.0|1000|Y
QL061322OVER_TAOLL_A03,,"VERTEX US TAX",COUNTY,STD,CO-VTL-100250000,175,7,2500,N,,"CONSUMERS_USE|Local Sales and Use Tax (Discretionary Sales Surtax)|General Sales and Use Tax",|98-765432|||,MIAMI-DADE,TAXABLE|DEFAULT||TIERED|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|49.9|175.0|224.9|Y
QL061322OVER_TAOLL_A03,,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,285.14,8.875,2500,N,,"CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",|98-765432|||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|63.27|221.88|285.14|Y
QL061322OVER_TAOLL_A03,,"VERTEX US TAX",STATE,STD,ST-VTL-390000000,150,6,2500,N,,"SALES|Sales and Use Tax|General Sales and Use Tax",,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|42.77|150.0|192.77|Y
QL061322OVER_TAOLL_A03,,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,297.19,9.25,2500,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|65.94|231.25|297.19|Y
QL061322OVER_TAOLL_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,0,0,0,N,,"CONSUMERS_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|62.5|0.0|62.5|Y
QL061322OVER_TAOLL_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,0,0,0,N,,"CONSUMERS_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|62.5|0.0|812.5|Y
QL061322OVER_TAOLL_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,62.5,0,0,N,,"CONSUMERS_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|62.5|0.0|62.5|Y
QL061322OVER_TAOLL_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,62.5,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|62.5|0.0|62.5|Y
QL061322OVER_TAOLL_CM01,,"VERTEX US TAX",STATE,STD,ST-VTL-330000000,-887.5,8.875,-10000,N,,"CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax",,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|-887.5|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|-1000.000000|112.5|-887.5|-1000|Y
QL061322OVER_TAOLL_CM02,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,-1000,0,0,N,,"CONSUMERS_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|-1000.000000|1000.0|0.0|-1000|Y
QL061322OVER_TAOLL_CM03,,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,-285.15,8.875,-2500,N,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",|98-765432|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|-778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|-1000.000000|63.27|-221.88|-285.15|Y
