TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
LO061322OVER_TAO_A01,,"VERTEX US TAX",STATE,STD,ST-VTL-330000000,887.5,8.875,10000,N,,"CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax",,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|887.5|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|112.500000|887.5||
LO061322OVER_TAO_A02,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,1000,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|1000.000000|0.0|1000|Y
LO061322OVER_TAO_A03,,"VERTEX US TAX",COUNTY,STD,CO-VTL-100250000,224.9,7,2500,N,,"SELLER_USE|Local Sales and Use Tax (Discretionary Sales Surtax)|General Sales and Use Tax",,MIAMI-DADE,TAXABLE|DEFAULT||TIERED|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|221.870000|175.0|224.9|Y
LO061322OVER_TAO_A03,,"VERTEX US TAX",STATE,STD,ST-VTL-330000000,285.15,8.875,2500,N,,"CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax",,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|221.870000|221.88|285.15|Y
LO061322OVER_TAO_A03,,"VERTEX US TAX",STATE,STD,ST-VTL-390000000,192.77,6,2500,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|221.870000|150.0|192.77|Y
LO061322OVER_TAO_A03,,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,297.18,9.25,2500,N,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|OVERCHARGED|PAYCHARGED|TAXACTIONOVERRIDE|1000.000000|221.870000|231.25|297.19|Y
LO061322OVER_TAO_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,0,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|1000.000000|0.0||
LO061322OVER_TAO_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,0,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|1000.000000|0.0||
LO061322OVER_TAO_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,0,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|1000.000000|0.0||
LO061322OVER_TAO_A04,,"VERTEX US TAX",STATE,STD,ST-VTL-080000000,0,0,0,N,,"SELLER_USE|Occupation Use Tax / No Sales or Use Tax Imposed|General Sales and Use Tax",,DELAWARE,NONTAXABLE|DEFAULT|||||||||F,RIUS104111|0.0|OVERCHARGED|PAYCALCULATED|TAXACTIONOVERRIDE|1000.000000|1000.000000|0.0||
