TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
DX092221IA01,1.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,90,9,1000,N,,VAT|CGST|CGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA01,1.0,"VERTEX IN GST","STATE IN SGST OUTPUT",VTX_IN_S_OP_STD,VTX_IN_ST_803560020,90,9,1000,N,,VAT|SGST|SGST,,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,10.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,180,9,2000,N,,VAT|CGST|CGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,10.0,"VERTEX IN GST","STATE IN SGST OUTPUT",VTX_IN_S_OP_STD,VTX_IN_ST_803560020,180,9,2000,N,,VAT|SGST|SGST,,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,11.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,180,9,2000,N,,VAT|CGST|CGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,11.0,"VERTEX IN GST","STATE IN SGST OUTPUT",VTX_IN_S_OP_STD,VTX_IN_ST_803560020,180,9,2000,N,,VAT|SGST|SGST,,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA06,12.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA06,13.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA06,14.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA06,15.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA07,16.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA08,17.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA08,18.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA08,19.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA01,2.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA09,20.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,1800,18,10000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA01,3.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA01,4.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,180,18,1000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA02,5.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,90,9,1000,N,,VAT|CGST|CGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA02,5.0,"VERTEX IN GST","STATE IN SGST OUTPUT",VTX_IN_S_OP_STD,VTX_IN_ST_803560020,90,9,1000,N,,VAT|SGST|SGST,,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA03,6.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,1800,18,10000,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA04,7.0,"VERTEX IN GST","COUNTRY IN IGST OUTPUT",VTX_IN_IGST_OP_STD,VTX_IN_803560000,1525.42,18,8474.58,N,,VAT|IGST|IGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,8.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,90,9,1000,N,,VAT|CGST|CGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,8.0,"VERTEX IN GST","STATE IN SGST OUTPUT",VTX_IN_S_OP_STD,VTX_IN_ST_803560020,90,9,1000,N,,VAT|SGST|SGST,,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,9.0,"VERTEX IN GST","COUNTRY IN CGST OUTPUT",VTX_IN_CGST_OP_STD,VTX_IN_803560000,180,9,2000,N,,VAT|CGST|CGST,INTXPY1234567||||,INDIA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
DX092221IA05,9.0,"VERTEX IN GST","STATE IN SGST OUTPUT",VTX_IN_S_OP_STD,VTX_IN_ST_803560020,180,9,2000,N,,VAT|SGST|SGST,,MAHARASHTRA,"TAXABLE||Standard Rate|SINGLE_RATE||21|||||F",
