PO_NUMBER,CREATION_DATE,RECOVERABLE_TAX,NONRECOVERABLE_TAX,ATTRIBUTE1,ATTRIBUTE2
13423,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_221,221
13486,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_284,284
13484,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_282,282
13634,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_62,62
13635,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_63,63
13641,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_69,69
13647,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_75,75
13409,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_213,213
13563,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_181,181
13714,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_691,691
13795,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_531,531
13796,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_532,532
13893,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_402,402
13577,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_5,5
13581,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_9,9
13926,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_409,409
13872,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_569,569
13873,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_570,570
13571,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_189,189
13572,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_190,190
13376,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_192,192
13762,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_715,715
13877,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_574,574
13788,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_729,729
13790,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_731,731
13804,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_733,733
13805,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_734,734
13958,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_424,424
13815,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_744,744
13983,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_436,436
13986,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_439,439
13600,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_28,28
14007,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_447,447
14009,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_449,449
14028,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_455,455
13621,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_49,49
13625,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_53,53
13863,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_768,768
14053,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_467,467
14054,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_468,468
13921,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_794,794
13923,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_796,796
13861,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_766,766
13936,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_589,589
13937,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_590,590
13941,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_594,594
14062,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_476,476
14064,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_478,478
