PO_NUMBER,CREATION_DATE,RECOVERABLE_TAX,NONRECOVERABLE_TAX,ATTRIBUTE1,ATTRIBUTE2
14294,2021-09-28T00:00:00.000+00:00,0,780,ZJ092821_5,5
14290,2021-09-28T00:00:00.000+00:00,0,14,ZJ092821_1,1
14298,2021-09-28T00:00:00.000+00:00,0,12.7,ZJ092821_9,9
14291,2021-09-28T00:00:00.000+00:00,0,97.63,ZJ092821_2,2
14292,2021-09-28T00:00:00.000+00:00,0,8.88,ZJ092821_3,3
14293,2021-09-28T00:00:00.000+00:00,0,31.13,ZJ092821_4,4
14295,2021-09-28T00:00:00.000+00:00,0,500,ZJ092821_6,6
14297,2021-09-28T00:00:00.000+00:00,0,9,ZJ092821_8,8
14299,2021-09-28T00:00:00.000+00:00,0,7.03,ZJ092821_10,10
14296,2021-09-28T00:00:00.000+00:00,0,6,ZJ092821_7,7
