PO_NUMBER,CREATION_DATE,RECOVERABLE_TAX,NONRECOVERABLE_TAX,ATTRIBUTE1,ATTRIBUTE2
15742,2022-03-23T00:00:00.000+00:00,0,500,YQ032322_6,6
15755,2022-03-23T00:00:00.000+00:00,9.5,9.5,YQ032322_19,19
15745,2022-03-23T00:00:00.000+00:00,0,12.7,YQ032322_9,9
15761,2022-03-23T00:00:00.000+00:00,146.01,47.23,YQ032322_25,25
15740,2022-03-23T00:00:00.000+00:00,0,31.13,YQ032322_4,4
15743,2022-03-23T00:00:00.000+00:00,0,0,YQ032322_7,7
15753,2022-03-23T00:00:00.000+00:00,0,12.7,YQ032322_17,17
15758,2022-03-23T00:00:00.000+00:00,37.6,0,YQ032322_22,22
15759,2022-03-23T00:00:00.000+00:00,61.2,0,YQ032322_23,23
15749,2022-03-23T00:00:00.000+00:00,0,8.88,YQ032322_13,13
15751,2022-03-23T00:00:00.000+00:00,0,736,YQ032322_15,15
15756,2022-03-23T00:00:00.000+00:00,10,10,YQ032322_20,20
15752,2022-03-23T00:00:00.000+00:00,0,500,YQ032322_16,16
15754,2022-03-23T00:00:00.000+00:00,0,0,YQ032322_18,18
15760,2022-03-23T00:00:00.000+00:00,144.94,35,YQ032322_24,24
15738,2022-03-23T00:00:00.000+00:00,0,97.63,YQ032322_2,2
15737,2022-03-23T00:00:00.000+00:00,0,14,YQ032322_1,1
15739,2022-03-23T00:00:00.000+00:00,0,8.88,YQ032322_3,3
15746,2022-03-23T00:00:00.000+00:00,0,7.03,YQ032322_10,10
15747,2022-03-23T00:00:00.000+00:00,0,14,YQ032322_11,11
15748,2022-03-23T00:00:00.000+00:00,0,97.63,YQ032322_12,12
15757,2022-03-23T00:00:00.000+00:00,0,0,YQ032322_21,21
15741,2022-03-23T00:00:00.000+00:00,0,736,YQ032322_5,5
15744,2022-03-23T00:00:00.000+00:00,0,9,YQ032322_8,8
15750,2022-03-23T00:00:00.000+00:00,0,31.13,YQ032322_14,14
15762,2022-03-23T00:00:00.000+00:00,84.94,95,YQ032322_26,26
