REQUISITION_NUMBER,CREATION_DATE,RECOVERABLE_TAX,NONRECOVERABLE_TAX,ATTRIBUTE2,ATTRIBUTE1
4732,2021-09-29T00:00:00.000+00:00,0,7.03,6,DD092921_V6
4740,2021-09-29T00:00:00.000+00:00,0,500,4,DD092921_V4
4742,2021-09-29T00:00:00.000+00:00,0,500,10,DD092921_V10
4733,2021-09-29T00:00:00.000+00:00,0,14,7,DD092921_V7
4734,2021-09-29T00:00:00.000+00:00,0,8.88,9,DD092921_V9
4736,2021-09-29T00:00:00.000+00:00,0,14,1,DD092921_V1
4739,2021-09-29T00:00:00.000+00:00,0,12.7,11,DD092921_V11
4741,2021-09-29T00:00:00.000+00:00,0,97.63,8,DD092921_V8
4737,2021-09-29T00:00:00.000+00:00,0,97.63,2,DD092921_V2
4738,2021-09-29T00:00:00.000+00:00,0,8.88,3,DD092921_V3
4735,2021-09-29T00:00:00.000+00:00,0,12.7,5,DD092921_V5
