REQUISITION_NUMBER,CREATION_DATE,RECOVERABLE_TAX,NONRECOVERABLE_TAX,ATTRIBUTE2,ATTRIBUTE1
7874,2023-06-06T00:00:00.000+00:00,0,780,5,MP060623_5
7876,2023-06-06T00:00:00.000+00:00,0,97.63,12,MP060623_12
7878,2023-06-06T00:00:00.000+00:00,0,19.05,17,MP060623_17
7883,2023-06-06T00:00:00.000+00:00,0,500,16,MP060623_16
7885,2023-06-06T00:00:00.000+00:00,0,8.88,3,MP060623_3
7879,2023-06-06T00:00:00.000+00:00,0,9,8,MP060623_8
7882,2023-06-06T00:00:00.000+00:00,0,780,15,MP060623_15
7877,2023-06-06T00:00:00.000+00:00,0,8.88,13,MP060623_13
7872,2023-06-06T00:00:00.000+00:00,0,14,11,MP060623_11
7875,2023-06-06T00:00:00.000+00:00,0,14,1,MP060623_1
7886,2023-06-06T00:00:00.000+00:00,0,500,6,MP060623_6
7873,2023-06-06T00:00:00.000+00:00,0,97.63,2,MP060623_2
7881,2023-06-06T00:00:00.000+00:00,0,31.13,4,MP060623_4
7871,2023-06-06T00:00:00.000+00:00,0,6.35,10,MP060623_10
7880,2023-06-06T00:00:00.000+00:00,0,19.05,9,MP060623_9
7884,2023-06-06T00:00:00.000+00:00,0,31.13,14,MP060623_14
