TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
JC012323CANZERO_A01,1,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|37.44||,2023-01-23
JC012323CANZERO_A01,2,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_AB_INPUT_PST,0.000000,0.000000,0.000000,Y,N,NONE||,N,ALBERTA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|12.5||,2023-01-23
JC012323CANZERO_A01,2,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|12.5||,2023-01-23
JC012323CANZERO_A01,3,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_BC_INPUT_PST,17.500000,7.000000,250.000000,Y,N,CONSUMERS_USE|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,BRITISH COLUMBIA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|30.0||,2023-01-23
JC012323CANZERO_A01,3,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|30.0||,2023-01-23
JC012323CANZERO_A02,1,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|38.87||,2023-01-23
JC012323CANZERO_A02,1,VERTEX CA QST,PROVINCE CA QST INPUT,VTX_CA_QST_STD,VTX_CA_QC_INPUT_QST,0.000000,0.000000,0.000000,Y,N,NONE||,N,QUEBEC,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|38.87||,2023-01-23
JC012323CANZERO_A01,5,VERTEX CA HST,COUNTRY CA HST INPUT1,VTX_CA_HST_STD,VTX_CA_INPUT_HST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|37.5||,2023-01-23
JC012323CANZERO_A01,5,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_NB_INPUT_PST,0.000000,0.000000,0.000000,Y,N,NONE||,N,NEW BRUNSWICK,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|37.5||,2023-01-23
JC012323CANZERO_A01,4,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_MB_INPUT_PST,17.500000,7.000000,250.000000,Y,N,CONSUMERS_USE|Retail Sales Tax (RST)|General Sales and Use Tax,1234567||||,MANITOBA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|30.0||,2023-01-23
JC012323CANZERO_A01,4,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|30.0||,2023-01-23
JC012323CANZERO_A01,6,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_ON_INPUT_PST,0.000000,0.000000,0.000000,Y,N,NONE||,N,ONTARIO,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|32.5||,2023-01-23
JC012323CANZERO_A01,6,VERTEX CA HST,COUNTRY CA HST INPUT1,VTX_CA_HST_STD,VTX_CA_INPUT_HST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-179.94|32.5||,2023-01-23
JC012323CANUNDER_A01,2,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,12.430000,5.000000,250.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|12.5|0.0|Y,2023-01-23
JC012323CANUNDER_A01,2,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_AB_INPUT_PST,0.000000,0.000000,0.000000,N,N,NONE||,N,ALBERTA,NO_TAX|NO TAX||||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|12.5|0.0|Y,2023-01-23
JC012323CANUNDER_A01,1,VERTEX CA QST,PROVINCE CA QST INPUT,VTX_CA_QST_STD,VTX_CA_QC_INPUT_QST,24.760000,9.975000,250.000000,N,100.000000,VAT|Quebec Sales Tax (VAT)|VAT,1234567||||,QUEBEC,TAXABLE|DEFAULT||||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|37.44|0|Y,2023-01-23
JC012323CANUNDER_A01,1,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,12.500000,5.000000,250.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|37.44|0|Y,2023-01-23
JC012323CANZERO_A02,6,VERTEX CA HST,COUNTRY CA HST INPUT1,VTX_CA_HST_STD,VTX_CA_INPUT_HST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|32.5||,2023-01-23
JC012323CANZERO_A02,6,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_ON_INPUT_PST,0.000000,0.000000,0.000000,Y,N,NONE||,N,ONTARIO,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|32.5||,2023-01-23
JC012323CANZERO_A02,5,VERTEX CA HST,COUNTRY CA HST INPUT1,VTX_CA_HST_STD,VTX_CA_INPUT_HST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|41.53||,2023-01-23
JC012323CANZERO_A02,5,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_NB_INPUT_PST,0.000000,0.000000,0.000000,Y,N,NONE||,N,NEW BRUNSWICK,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|41.53||,2023-01-23
JC012323CANZERO_A02,3,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_BC_INPUT_PST,17.500000,7.000000,250.000000,Y,N,CONSUMERS_USE|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,BRITISH COLUMBIA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|31.68||,2023-01-23
JC012323CANZERO_A02,3,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|31.68||,2023-01-23
JC012323CANZERO_A02,2,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_AB_INPUT_PST,0.000000,0.000000,0.000000,Y,N,NONE||,N,ALBERTA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|17.54||,2023-01-23
JC012323CANZERO_A02,2,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|17.54||,2023-01-23
JC012323CANZERO_A02,4,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,0.000000,0.000000,0.000000,Y,N,NONE||,N,CANADA,NO_TAX|NO TAX||||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|31.12||,2023-01-23
JC012323CANZERO_A02,4,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_MB_INPUT_PST,17.500000,7.000000,250.000000,Y,N,CONSUMERS_USE|Retail Sales Tax (RST)|General Sales and Use Tax,1234567||||,MANITOBA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|193.24|ZEROCHARGED|ACCRUENONVAT|PROFILE|0|-193.24|31.12||,2023-01-23
JC012323CANUNDER_A01,3,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_BC_INPUT_PST,17.340000,7.000000,250.000000,N,N,SALES|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,BRITISH COLUMBIA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|30.0|17.34|Y,2023-01-23
JC012323CANUNDER_A01,3,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_BC_INPUT_PST,0.160000,7.000000,250.000000,Y,N,CONSUMERS_USE|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,BRITISH COLUMBIA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|30.0|17.34|Y,2023-01-23
JC012323CANUNDER_A01,3,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,12.500000,5.000000,250.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|30.0|17.34|Y,2023-01-23
JC012323CANUNDER_A01,4,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_MB_INPUT_PST,17.340000,7.000000,250.000000,N,N,SALES|Retail Sales Tax (RST)|General Sales and Use Tax,1234567||||,MANITOBA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RICA103142|179.94|UNDERCHARGED|PAYCHARGEDACCRDIFF|PROFILE|179.000000|-0.940000|30.0|17.34|Y,2023-01-23
