TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
IK033023ERS_A02,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,150.000000,6.000000,2500.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|876.66|ZEROCHARGED|PAYCALCULATED|RANGE|0|-876.66|150.0||,2023-03-30
IK033023ASSUME_A01,1,VERTEX US TAX,STATE,STD,ST-VTL-390000000,600.000000,6.000000,10000.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|600.0|ZEROCHARGED|ACCRUEALL|RANGE|0|-600.0|600.0||,2023-03-30
IK033023ERS_A02,3,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,273.530000,10.750000,2556.250000,N,N,SALES|Local Sales and Use Tax|General Sales and Use Tax,N,ADAMS,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|876.66|ZEROCHARGED|PAYCALCULATED|RANGE|0|-876.66|273.53||,2023-03-30
IK033023ERS_A02,4,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,231.250000,9.250000,2500.000000,N,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,RIUS104111|876.66|ZEROCHARGED|PAYCALCULATED|RANGE|0|-876.66|231.25||,2023-03-30
IK033023ERS_A02,2,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,221.880000,8.875000,2500.000000,N,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|876.66|ZEROCHARGED|PAYCALCULATED|RANGE|0|-876.66|221.88||,2023-03-30
IK033023CTT_A02,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,300.000000,6.000000,10000.000000,N,N,SALES|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|600.0|CONTROL|PAYCHARGED||300.000000||600.0|300|Y,2023-03-30
IK033023CTT_A01,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,600.000000,6.000000,10000.000000,N,N,SALES|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|600.0|CONTROL|PAYCHARGED||600.000000||600.0|600|Y,2023-03-30
IK033023CTT_CM02,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,-300.000000,6.000000,-10000.000000,N,N,SALES|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|-600.0|CONTROL|PAYCHARGED||-300.000000||-600.0|-300|Y,2023-03-30
IK033023CTT_CM01,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,-600.000000,6.000000,-10000.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|-600.0|CONTROL|PAYCHARGED||-600.000000||-600.0|-600|Y,2023-03-30
IK033023ASSUME_A02,1,VERTEX US TAX,STATE,STD,ST-VTL-390000000,600.000000,6.000000,10000.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|600.0|ZEROCHARGED|ACCRUEALL|RANGE|0|-600.0|600.0||,2023-03-30
IK033023ASSUME_CM02,1,VERTEX US TAX,STATE,STD,ST-VTL-390000000,-600.000000,6.000000,-10000.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|-600.0|ZEROCHARGED|ACCRUEALL|RANGE|0|-600.0|-600.0||,2023-03-30
IK033023ASSUME_CM01,1,VERTEX US TAX,STATE,STD,ST-VTL-390000000,-600.000000,6.000000,-10000.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|-600.0|ZEROCHARGED|ACCRUEALL|RANGE|0|-600.0|-600.0||,2023-03-30
IK033023MATCH_A02,4,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,231.250000,9.250000,2500.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,N,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,RIUS104111|778.13|MATCHED|PAYCHARGED||778.130000|0.000000|231.25|231.25|Y,2023-03-30
IK033023MATCH_A02,2,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,221.880000,8.875000,2500.000000,N,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|778.13|MATCHED|PAYCHARGED||778.130000|0.000000|221.88|221.88|Y,2023-03-30
