TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
JA032923_External,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,400.000000,4.000000,10000.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|887.5|ZEROCHARGED|ACCRUEALL|RANGE|0|-887.5|887.5||,2023-03-29
JA032923_EC775A,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,6.000000,6.000000,100.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|12.0|MATCHED|PAYCHARGED||12.000000|0.000000|6.0|6|Y,2023-03-29
JA032923_External,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,450.000000,4.500000,10000.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|887.5|ZEROCHARGED|ACCRUEALL|RANGE|0|-887.5|887.5||,2023-03-29
JA032923_EC775B,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,6.000000,6.000000,100.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|18.0|MATCHED|PAYCHARGED||18.000000|0.000000|6.0|6|Y,2023-03-29
JA032923_EC775B,2,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,6.000000,6.000000,100.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|18.0|MATCHED|PAYCHARGED||18.000000|0.000000|6.0|6|Y,2023-03-29
JA032923_EC775B,3,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,6.000000,6.000000,100.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|18.0|MATCHED|PAYCHARGED||18.000000|0.000000|6.0|6|Y,2023-03-29
JA032923_EC775A,2,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,6.000000,6.000000,100.000000,N,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|12.0|MATCHED|PAYCHARGED||12.000000|0.000000|6.0|6|Y,2023-03-29
JA032923_EC838A,1,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_SK_INPUT_PST,6.000000,6.000000,100.000000,N,N,SALES|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,SASKATCHEWAN,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC1048A,1,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_SK_INPUT_PST,6.000000,6.000000,100.000000,N,N,SALES|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,SASKATCHEWAN,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC1048A,1,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,5.000000,5.000000,100.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC1048A,2,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,5.000000,5.000000,100.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC1048A,2,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_SK_INPUT_PST,6.000000,6.000000,100.000000,N,N,SALES|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,SASKATCHEWAN,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC838A,2,VERTEX CA PST,PROVINCE CA PST INPUT,VTX_CA_PST_STD,VTX_CA_SK_INPUT_PST,6.000000,6.000000,100.000000,N,N,SALES|Provincial Sales Tax (PST)|General Sales and Use Tax,1234567||||,SASKATCHEWAN,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC838A,2,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,5.000000,5.000000,100.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_EC838A,1,VERTEX CA GST,COUNTRY CA GST INPUT1,VTX_CA_GST_STD,VTX_CA_INPUT_GST,5.000000,5.000000,100.000000,N,100.000000,VAT|GST/HST|Goods and Services Tax,1234567|CN887655|||,CANADA,TAXABLE|DEFAULT||||21|||||F,RIUS104111|22.0|MATCHED|PAYCHARGED||22.000000|0.000000|11.0|6.0|Y,2023-03-29
JA032923_TAXINCL_C02,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,11.250000,4.500000,250.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|22.19||,2023-03-29
JA032923_TAXINCL_C02,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,10.000000,4.000000,250.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|22.19||,2023-03-29
JA032923_TAXINCL_C01,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,45.000000,4.500000,1000.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|88.75||,2023-03-29
JA032923_TAXINCL_C01,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,3.750000,0.375000,1000.000000,Y,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|88.75||,2023-03-29
JA032923_TAXINCL_C01,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,40.000000,4.000000,1000.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|88.75||,2023-03-29
PT032923A001,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626331|AT4152630|||,AUSTRIA,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A001,1,VERTEX AT VAT,CITY AT INPUT,VTX_AT_VAT_TI_STD,VTX_AT_CI_800400002,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626331||||,JUNGHOLZ,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
NOTAX_BLK_JA032923,1,VERTEX COMMON TAX,VERTEX TAX,STD,VTX_VERTEX_TAX_JURCD,1.000000,0.000000,0.000000,N,N,NONE||,N,USER DEFINED,NO_TAX|NO TAX||||21|||||F,RIUS104111|0.0|OVERCHARGED|PAYCHARGED|RANGE|1.000000|1.000000|0.0|1|Y,2023-03-29
PT032923A003,1,VERTEX AT VAT,CITY AT INPUT,VTX_AT_VAT_TI_STD,VTX_AT_CI_800400002,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626563|DE6352410|||,JUNGHOLZ,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A003,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626563|DE6352410|||,AUSTRIA,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A002,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626448|AT4152630|||,AUSTRIA,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
