TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
SX070623A01,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,3.750000,0.375000,1000.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A01,2,VERTEX US TAX,STATE,STD,ST-VTL-430000000,70.000000,7.000000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A01,2,VERTEX US TAX,COUNTY,STD,CO-VTL-430370000,22.500000,2.250000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,N,2023-07-06
SX070623A01,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,40.000000,4.000000,1000.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A01,3,VERTEX US TAX,STATE,STD,ST-VTL-100000000,60.000000,6.000000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,FLORIDA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A02,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,3.750000,0.375000,1000.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A02,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,40.000000,4.000000,1000.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A02,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,45.000000,4.500000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A03,1,VERTEX US TAX,STATE,STD,ST-VTL-430000000,700.000000,7.000000,10000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A01,3,VERTEX US TAX,COUNTY,STD,CO-VTL-100250000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax (Discretionary Sales Surtax)|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,MIAMI-DADE,TAXABLE|DEFAULT||TIERED|||||||F,N,2023-07-06
SX070623A01,4,VERTEX US TAX,COUNTY,STD,CO-VTL-450190000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A01,4,VERTEX US TAX,CITY,STD,CI-VTL-450190014,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,CASTLE VALLEY,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A01,4,VERTEX US TAX,STATE,STD,ST-VTL-450000000,48.500000,4.850000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,1,VERTEX US TAX,CITY,STD,CI-VTL-450190014,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,CASTLE VALLEY,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A04,1,VERTEX US TAX,STATE,STD,ST-VTL-430000000,651.850000,7.000000,9312.150000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A04,1,VERTEX US TAX,COUNTY,STD,CO-VTL-430370000,36.000000,2.250000,1600.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,N,2023-07-06
SX070623A05,4,VERTEX US TAX,CITY,STD,CI-VTL-330612010,90.000000,4.500000,2000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,4,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,7.500000,0.375000,2000.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,4,VERTEX US TAX,STATE,STD,ST-VTL-330000000,80.000000,4.000000,2000.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,2,VERTEX US TAX,STATE,STD,ST-VTL-330000000,80.000000,4.000000,2000.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
