TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
JK051923VCM034,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM037,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM036,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM031,1,VERTEX SG VAT,COUNTRY SG OUTPUT,VTX_SG_VAT_STD,VTX_SG_807020000,0.000000,0.000000,0.000000,N,N,NONE||,N,SINGAPORE,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM030,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM033,1,VERTEX SG VAT,COUNTRY SG OUTPUT,VTX_SG_VAT_STD,VTX_SG_807020000,0.000000,0.000000,0.000000,N,N,NONE||,N,SINGAPORE,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM032,1,VERTEX SG VAT,COUNTRY SG OUTPUT,VTX_SG_VAT_STD,VTX_SG_807020000,0.000000,0.000000,0.000000,N,N,NONE||,N,SINGAPORE,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM027,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM026,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM029,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM028,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM023,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM022,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM025,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
JK051923VCM024,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
