TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
RT051923VAT002,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT005,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT004,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT006,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT003,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT013,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT012,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT014,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT009,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT008,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
