TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
SF012323CANINV01,1,VERTEX CA GST,COUNTRY CA GST OUTPUT1,VTX_CA_GST_STD,VTX_CA_OUTPUT_GST,50.000000,5.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV02,1,VERTEX CA HST,COUNTRY CA HST OUTPUT1,VTX_CA_HST_STD,VTX_CA_OUTPUT_HST,150.000000,15.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV02,1,VERTEX CA PST,PROVINCE CA PST OUTPUT,VTX_CA_PST_STD,VTX_CA_NB_OUTPUT_PST,0.000000,0.000000,0.000000,N,N,NONE||,N,NEW BRUNSWICK,NO_TAX|NO TAX||||21|||||F,N,2023-01-23
SF012323CANINV03,1,VERTEX CA GST,COUNTRY CA GST OUTPUT1,VTX_CA_GST_STD,VTX_CA_OUTPUT_GST,50.000000,5.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV03,1,VERTEX CA PST,PROVINCE CA PST OUTPUT,VTX_CA_PST_STD,VTX_CA_BC_OUTPUT_PST,70.000000,7.000000,1000.000000,N,N,SALES|Provincial Sales Tax (PST)|General Sales and Use Tax,N,BRITISH COLUMBIA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV06,1,VERTEX CA GST,COUNTRY CA GST OUTPUT1,VTX_CA_GST_STD,VTX_CA_OUTPUT_GST,50.000000,5.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV06,1,VERTEX CA PST,PROVINCE CA PST OUTPUT,VTX_CA_PST_STD,VTX_CA_MB_OUTPUT_PST,70.000000,7.000000,1000.000000,N,N,SALES|Retail Sales Tax (RST)|General Sales and Use Tax,N,MANITOBA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV07,1,VERTEX CA QST,PROVINCE CA QST OUTPUT,VTX_CA_QST_STD,VTX_CA_QC_OUTPUT_QST,100.000000,9.975000,1002.500000,N,N,VAT|Quebec Sales Tax (VAT)|VAT,N,QUEBEC,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV07,1,VERTEX CA GST,COUNTRY CA GST OUTPUT1,VTX_CA_GST_STD,VTX_CA_OUTPUT_GST,50.120000,5.000000,1002.500000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV04,1,VERTEX CA PST,PROVINCE CA PST OUTPUT,VTX_CA_PST_STD,VTX_CA_AB_OUTPUT_PST,0.000000,0.000000,0.000000,N,N,NONE||,N,ALBERTA,NO_TAX|NO TAX||||21|||||F,N,2023-01-23
SF012323CANINV04,1,VERTEX CA GST,COUNTRY CA GST OUTPUT1,VTX_CA_GST_STD,VTX_CA_OUTPUT_GST,50.000000,5.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV05,1,VERTEX CA PST,PROVINCE CA PST OUTPUT,VTX_CA_PST_STD,VTX_CA_ON_OUTPUT_PST,0.000000,0.000000,0.000000,N,N,NONE||,N,ONTARIO,NO_TAX|NO TAX||||21|||||F,N,2023-01-23
SF012323CANINV05,1,VERTEX CA HST,COUNTRY CA HST OUTPUT1,VTX_CA_HST_STD,VTX_CA_OUTPUT_HST,130.000000,13.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV10,1,VERTEX CA GST,COUNTRY CA GST OUTPUT1,VTX_CA_GST_STD,VTX_CA_OUTPUT_GST,51.200000,5.000000,1024.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV10,1,VERTEX CA FEE,PROVINCE CA FEE OUTPUT,VTX_CA_FEE_STD,VTX_CA_AB_OUTPUT_FEE,24.000000,2.400000,1000.000000,N,N,SALES|Advance Disposal Surcharge|Environmental Waste Recycling Fee,N,ALBERTA,TAXABLE|DEFAULT||QUANTITY||21|||||F,N,2023-01-23
SF012323CANINV11,1,VERTEX CA HST,COUNTRY CA HST OUTPUT1,VTX_CA_HST_STD,VTX_CA_OUTPUT_HST,130.000000,13.000000,1000.000000,N,N,VAT|GST/HST|Goods and Services Tax,CN887655||||,CANADA,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-01-23
SF012323CANINV11,1,VERTEX CA FEE,PROVINCE CA FEE OUTPUT,VTX_CA_FEE_STD,VTX_CA_ON_OUTPUT_FEE,0.000000,0.000000,1000.000000,N,N,SALES|Environmental Handling Fee|Environmental Waste Recycling Fee,N,ONTARIO,TAXABLE|DEFAULT||QUANTITY||21|||||F,N,2023-01-23
SF012323CANINV12,1,VERTEX CA PST,PROVINCE CA PST OUTPUT,VTX_CA_PST_STD,VTX_CA_MB_OUTPUT_PST,70.140000,7.000000,1002.000000,N,N,SALES|Retail Sales Tax (RST)|General Sales and Use Tax,N,MANITOBA,TAXABLE|DEFAULT||SINGLE_RATE||21|||||F,N,2023-01-23
